ID,W,G,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,BBHBP,SF,Outs,Outsinplay,RA,BA,OBA,SLG,OPS
211,71,162,684,5532,1376,882,289,20,185,512,1159,107,23,61,573,34,4156,2997,731,0.248734635,0.317478417,0.408532176,0.726010593
213,89,162,799,5606,1491,1007,274,38,172,619,1024,138,36,39,658,49,4115,3091,715,0.265965037,0.340408681,0.420442383,0.760851064
215,74,162,804,5490,1413,956,295,13,149,633,1122,131,47,0,633,0,4077,2955,866,0.257377049,0.334149927,0.39726776,0.731417686
217,89,162,642,5422,1360,993,215,32,120,552,1013,136,67,0,552,0,4062,3049,626,0.250829952,0.320053565,0.368683143,0.688736708
219,94,162,628,5431,1346,1005,217,25,99,437,947,131,46,0,437,0,4085,3138,544,0.247836494,0.303851397,0.351684773,0.65553617
221,79,162,714,5599,1431,1072,208,17,134,613,863,102,62,0,613,0,4168,3305,733,0.255581354,0.329040567,0.370601893,0.69964246
223,85,162,786,5508,1470,1002,287,24,157,655,930,73,54,0,655,0,4038,3108,745,0.266884532,0.344799611,0.413217139,0.758016749
225,89,162,738,5513,1472,1060,235,30,147,581,799,114,45,0,581,0,4041,3242,647,0.26700526,0.336888743,0.40050789,0.737396633
227,74,162,853,5518,1472,913,330,31,198,619,1134,63,37,52,671,38,4046,2912,892,0.26676332,0.344146459,0.44545125,0.789597709
229,71,163,743,5665,1516,1063,277,24,152,431,902,89,36,54,485,40,4149,3247,820,0.26760812,0.323263328,0.405472198,0.728735526
231,66,113,679,4022,1165,738,240,20,167,382,629,131,48,0,382,0,2857,2228,562,0.289656887,0.351271571,0.483838886,0.835110457
233,73,162,599,5461,1343,979,259,21,84,591,865,44,48,0,591,0,4118,3253,669,0.245925655,0.319563781,0.347189159,0.66675294
235,89,162,767,5536,1518,1036,273,22,187,449,1113,134,33,47,496,41,4018,2905,699,0.274205202,0.331631813,0.432803468,0.764435281
237,94,162,700,5425,1341,899,263,30,149,567,1289,101,32,34,601,46,4084,2795,600,0.24718894,0.319828722,0.389124424,0.708953146
239,49,112,569,3883,1045,663,211,18,153,372,652,48,21,0,372,0,2838,2186,616,0.269121813,0.333019976,0.450939995,0.783959971
241,83,162,722,5505,1421,935,279,32,175,486,1075,153,40,48,534,38,4084,3009,648,0.258128974,0.321704789,0.415803815,0.737508603
243,79,162,656,5465,1361,927,266,40,128,502,1095,130,44,46,548,57,4104,3009,652,0.249039341,0.314497529,0.382616651,0.69711418
245,92,162,803,5468,1458,941,294,36,187,590,999,89,30,61,651,52,4010,3011,698,0.266642282,0.341759844,0.436174104,0.777933948
247,83,162,770,5530,1452,955,270,54,173,585,1274,99,42,47,632,47,4078,2804,717,0.262567812,0.33564181,0.42477396,0.76041577
249,87,163,817,5608,1539,1056,271,40,172,585,1021,85,32,45,630,57,4069,3048,765,0.274429387,0.344559174,0.429029957,0.773589131
251,93,163,637,5566,1455,1082,231,67,75,540,755,194,74,0,540,0,4111,3356,589,0.261408552,0.326727809,0.367409271,0.694137079
253,74,162,766,5599,1451,937,302,35,177,529,1105,116,38,0,529,0,4148,3043,809,0.25915342,0.32310705,0.42043222,0.74353927
255,80,162,894,5662,1578,1056,304,40,178,624,986,101,48,0,624,0,4084,3098,899,0.278700106,0.350302259,0.440833628,0.791135887
257,89,162,664,5454,1417,1035,245,25,112,506,831,128,76,0,506,0,4037,3206,654,0.259809314,0.322651007,0.375504217,0.698155224
259,63,162,687,5472,1359,937,262,24,136,514,989,133,53,77,591,49,4113,3124,829,0.248355263,0.319044503,0.379568713,0.698613216
261,54,161,550,5358,1275,919,199,20,137,504,869,69,44,0,504,0,4083,3214,789,0.237961926,0.303480041,0.359275849,0.66275589
263,94,162,807,5486,1445,945,282,20,198,675,1037,66,46,45,720,51,4041,3004,738,0.26339774,0.346012466,0.43036821,0.776380676
265,98,162,949,5720,1613,993,373,25,222,659,1189,68,30,69,728,55,4107,2918,768,0.281993007,0.359987698,0.472377622,0.83236532
267,56,111,427,3766,941,691,161,26,63,386,543,89,50,0,386,0,2825,2282,414,0.249867233,0.31960501,0.35661179,0.676216799
269,74,162,595,5452,1340,1007,211,37,85,518,778,88,55,0,518,0,4112,3334,686,0.245781365,0.311222781,0.344827586,0.656050367
271,71,162,634,5551,1355,930,282,20,123,535,1337,63,25,68,603,52,4196,2859,715,0.244100162,0.315501128,0.368582237,0.684083365
273,80,162,690,5570,1448,1037,237,27,147,566,1000,69,43,0,566,0,4122,3122,706,0.259964093,0.328226858,0.391382406,0.719609264
275,105,162,855,5555,1544,987,319,24,214,548,1085,111,47,51,599,70,4011,2926,659,0.277947795,0.344312339,0.459585959,0.803898298
277,83,162,961,5590,1607,1052,297,37,221,527,1108,201,66,0,527,0,3983,2875,964,0.287477639,0.348863822,0.472450805,0.821314627
279,68,162,752,5533,1400,981,245,21,153,615,1189,113,53,0,615,0,4133,2944,862,0.253027291,0.327748861,0.38785469,0.715603551
281,83,162,753,5536,1434,901,344,24,165,533,1044,57,22,47,580,48,4102,3058,699,0.259031792,0.326735886,0.41925578,0.745991666
283,74,164,637,5539,1334,923,263,53,95,563,914,155,69,0,563,0,4205,3291,680,0.240837696,0.310881678,0.35890955,0.669791229
285,92,162,697,5488,1411,935,284,30,162,487,1099,55,32,50,537,41,4077,2978,583,0.257106414,0.321134191,0.408345481,0.729479672
287,86,162,758,5493,1399,902,264,27,206,519,1062,89,42,56,575,44,4094,3032,744,0.254687784,0.322971204,0.425086474,0.748057678
289,93,162,790,5609,1522,948,337,30,207,503,1093,62,36,54,557,50,4087,2994,642,0.271349617,0.334459459,0.452843644,0.787303104
291,86,162,714,5601,1520,1139,218,34,129,563,695,90,38,0,563,0,4081,3386,653,0.271380111,0.337929916,0.391537225,0.729467141
